nr;RomName78;RomName;Game;Description
4458;vimanan;vimanan;"Vimana (c) 1991 Toaplan.
";"Players control their ship over a constantly scrolling background; the scenery never stops moving until the final level is reached. Players have three weapons at their disposal: the standard shot, a charge shot and a bomb weapon.

The standard shot weapon is a twin-shot weapon capable of strengthening in size and power with upgrades. However, the player has to tap the fire button to fire rapidly; once the button is held down, the ship charges a stronger version of the normal shot capable of spreading out across the entire screen in twelve directions. The player’s bomb weapon, the Circle Bomb, encircles the ship once activated and seeks out enemies upon an additional tap of the bomb button.

There are a total of four items for the player to pick up shot strength, circle bomb, points, and and extra life."
4459;vindc2r1;vindctr2r1;"Vindicators Part II (c) 1989 Atari Games Corp.
";"

"
4460;vindc2r2;vindctr2r2;"Vindicators Part II (c) 1989 Atari Games Corp.
";"

"
4461;vindctr2;vindctr2;"Vindicators Part II (c) 1989 Atari Games Corp.
";"

"
4462;vindice3;vindictre3;"Vindicators (c) 1988 Atari Games Corp.
";"As team commander of the SR-88 Strategic Battle tanks, you must face the evil invading forces of the Tangent Empire. They're invading the galaxy with 14 space stations designed to defeat your team. Turrets and highly mobile armoured tanks are constantly on patrol to protect the fortifications that Tangents have built.

With limited supplies and weapons, you must make a last stand and attempt to defeat the invaders. The most powerful weapon in your arsenal is the SR-88 Battle Tank, but their fuel supply is very volatile. You must constantly replenish its fuel by picking up fuel canisters throughout the stations' many levels.

Battle stars can be found along the way. These are vital to enhancing your tank and adding weapons. Process generators can convert the battle stars into powers and weapons while in transit between levels and stations. Only with these customized tanks can the evil Tangent Empire be conquered.

As you defeat each station, demolish its control room and take the supplies the fleeing Tangents have left behind. Proceed in their mothership to the next station for another battle."
4463;vindice4;vindictre4;"Vindicators (c) 1988 Atari Games Corp.
";"As team commander of the SR-88 Strategic Battle tanks, you must face the evil invading forces of the Tangent Empire. They're invading the galaxy with 14 space stations designed to defeat your team. Turrets and highly mobile armoured tanks are constantly on patrol to protect the fortifications that Tangents have built.

With limited supplies and weapons, you must make a last stand and attempt to defeat the invaders. The most powerful weapon in your arsenal is the SR-88 Battle Tank, but their fuel supply is very volatile. You must constantly replenish its fuel by picking up fuel canisters throughout the stations' many levels.

Battle stars can be found along the way. These are vital to enhancing your tank and adding weapons. Process generators can convert the battle stars into powers and weapons while in transit between levels and stations. Only with these customized tanks can the evil Tangent Empire be conquered.

As you defeat each station, demolish its control room and take the supplies the fleeing Tangents have left behind. Proceed in their mothership to the next station for another battle."
4464;vindict1;vindictr1;"Vindicators (c) 1988 Atari Games Corp.
";"As team commander of the SR-88 Strategic Battle tanks, you must face the evil invading forces of the Tangent Empire. They're invading the galaxy with 14 space stations designed to defeat your team. Turrets and highly mobile armoured tanks are constantly on patrol to protect the fortifications that Tangents have built.

With limited supplies and weapons, you must make a last stand and attempt to defeat the invaders. The most powerful weapon in your arsenal is the SR-88 Battle Tank, but their fuel supply is very volatile. You must constantly replenish its fuel by picking up fuel canisters throughout the stations' many levels.

Battle stars can be found along the way. These are vital to enhancing your tank and adding weapons. Process generators can convert the battle stars into powers and weapons while in transit between levels and stations. Only with these customized tanks can the evil Tangent Empire be conquered.

As you defeat each station, demolish its control room and take the supplies the fleeing Tangents have left behind. Proceed in their mothership to the next station for another battle."
4465;vindict2;vindictr2;"Vindicators (c) 1988 Atari Games Corp.
";"As team commander of the SR-88 Strategic Battle tanks, you must face the evil invading forces of the Tangent Empire. They're invading the galaxy with 14 space stations designed to defeat your team. Turrets and highly mobile armoured tanks are constantly on patrol to protect the fortifications that Tangents have built.

With limited supplies and weapons, you must make a last stand and attempt to defeat the invaders. The most powerful weapon in your arsenal is the SR-88 Battle Tank, but their fuel supply is very volatile. You must constantly replenish its fuel by picking up fuel canisters throughout the stations' many levels.

Battle stars can be found along the way. These are vital to enhancing your tank and adding weapons. Process generators can convert the battle stars into powers and weapons while in transit between levels and stations. Only with these customized tanks can the evil Tangent Empire be conquered.

As you defeat each station, demolish its control room and take the supplies the fleeing Tangents have left behind. Proceed in their mothership to the next station for another battle."
4466;vindict4;vindictr4;"Vindicators (c) 1988 Atari Games Corp.
";"As team commander of the SR-88 Strategic Battle tanks, you must face the evil invading forces of the Tangent Empire. They're invading the galaxy with 14 space stations designed to defeat your team. Turrets and highly mobile armoured tanks are constantly on patrol to protect the fortifications that Tangents have built.

With limited supplies and weapons, you must make a last stand and attempt to defeat the invaders. The most powerful weapon in your arsenal is the SR-88 Battle Tank, but their fuel supply is very volatile. You must constantly replenish its fuel by picking up fuel canisters throughout the stations' many levels.

Battle stars can be found along the way. These are vital to enhancing your tank and adding weapons. Process generators can convert the battle stars into powers and weapons while in transit between levels and stations. Only with these customized tanks can the evil Tangent Empire be conquered.

As you defeat each station, demolish its control room and take the supplies the fleeing Tangents have left behind. Proceed in their mothership to the next station for another battle."
4467;vindicte;vindictre;"Vindicators (c) 1988 Atari Games Corp.
";"As team commander of the SR-88 Strategic Battle tanks, you must face the evil invading forces of the Tangent Empire. They're invading the galaxy with 14 space stations designed to defeat your team. Turrets and highly mobile armoured tanks are constantly on patrol to protect the fortifications that Tangents have built.

With limited supplies and weapons, you must make a last stand and attempt to defeat the invaders. The most powerful weapon in your arsenal is the SR-88 Battle Tank, but their fuel supply is very volatile. You must constantly replenish its fuel by picking up fuel canisters throughout the stations' many levels.

Battle stars can be found along the way. These are vital to enhancing your tank and adding weapons. Process generators can convert the battle stars into powers and weapons while in transit between levels and stations. Only with these customized tanks can the evil Tangent Empire be conquered.

As you defeat each station, demolish its control room and take the supplies the fleeing Tangents have left behind. Proceed in their mothership to the next station for another battle."
4468;vindictg;vindictrg;"Vindicators (c) 1988 Atari Games Corp.
";"As team commander of the SR-88 Strategic Battle tanks, you must face the evil invading forces of the Tangent Empire. They're invading the galaxy with 14 space stations designed to defeat your team. Turrets and highly mobile armoured tanks are constantly on patrol to protect the fortifications that Tangents have built.

With limited supplies and weapons, you must make a last stand and attempt to defeat the invaders. The most powerful weapon in your arsenal is the SR-88 Battle Tank, but their fuel supply is very volatile. You must constantly replenish its fuel by picking up fuel canisters throughout the stations' many levels.

Battle stars can be found along the way. These are vital to enhancing your tank and adding weapons. Process generators can convert the battle stars into powers and weapons while in transit between levels and stations. Only with these customized tanks can the evil Tangent Empire be conquered.

As you defeat each station, demolish its control room and take the supplies the fleeing Tangents have left behind. Proceed in their mothership to the next station for another battle."
